fase,regiao,tipo,hp_inimigo,atk_inimigo,def_inimigo,ouro,xp,pc_esperado_heroi,custo_upgrade_forca,drop_comum_pct,drop_rara_pct,drop_lendaria_pct
70,Bosque de Vidro Negro,chefe,1820092.7,7458.91,1345.5,258550.9,24219.68,4720,850,0,32,7
71,Bosque de Vidro Negro,normal,344402.6,5120.94,731.1,23927.5,3289.85,4792,850,55,12,1.6
72,Bosque de Vidro Negro,normal,391012.5,5625.29,794.4,26572.3,3574.98,4865,905,55,12,1.6
73,Bosque de Vidro Negro,normal,443930.3,6179.31,863.3,29509.4,3884.82,4938,964,55,12,1.6
74,Bosque de Vidro Negro,normal,504009.8,6787.89,938.1,32771.2,4221.52,5012,1027,55,12,1.6
75,Bosque de Vidro Negro,miniboss,1716660.6,9693.33,1019.4,181967.8,16055.90,5087,1094,55,12,1.6
76,Bosque de Vidro Negro,normal,649661.9,8190.76,1107.8,40416.3,4984.99,5162,1094,55,12,1.6
77,Bosque de Vidro Negro,normal,737584.1,8997.45,1203.8,44883.7,5417.04,5238,1165,55,12,1.6
78,Bosque de Vidro Negro,normal,837405.4,9883.58,1308.1,49844.9,5886.53,5314,1241,55,12,1.6
79,Bosque de Vidro Negro,normal,950736.0,10856.98,1421.5,55354.4,6396.72,5391,1321,55,12,1.6
80,Bosque de Vidro Negro,chefe,6476425.5,19082.00,3089.4,737675.9,55608.99,5469,1407,0,32,7
81,Bosque de Vidro Negro,normal,1225485.9,13100.83,1678.6,68267.9,7553.58,5547,1407,55,12,1.6
82,Bosque de Vidro Negro,normal,1391337.5,14391.09,1824.1,75813.8,8208.24,5626,1499,55,12,1.6
83,Bosque de Vidro Negro,normal,1579634.7,15808.43,1982.1,84193.8,8919.65,5706,1596,55,12,1.6
84,Pântano das Lamentações,normal,1793415.3,17365.35,2153.9,93500.1,9692.72,5786,1700,55,12,1.6
85,Pântano das Lamentações,miniboss,6108383.6,24798.29,2340.6,519175.4,36864.75,5867,1810,55,12,1.6
86,Pântano das Lamentações,normal,2311688.1,20954.31,2543.5,115312.4,11445.66,5948,1810,55,12,1.6
87,Pântano das Lamentações,normal,2624541.3,23018.03,2763.9,128058.4,12437.66,6030,1928,55,12,1.6
88,Pântano das Lamentações,normal,2979734.7,25285.00,3003.5,142213.2,13515.63,6113,2053,55,12,1.6
89,Pântano das Lamentações,normal,3382998.4,27775.25,3263.8,157932.6,14687.03,6196,2187,55,12,1.6
90,Pântano das Lamentações,chefe,23045027.2,48817.19,7093.3,2104675.3,127679.60,6280,2329,0,32,7
91,Pântano das Lamentações,normal,4360639.3,33515.65,3854.0,194776.2,17343.20,6364,2329,55,12,1.6
92,Pântano das Lamentações,normal,4950788.2,36816.51,4188.1,216305.6,18846.33,6450,2480,55,12,1.6
93,Pântano das Lamentações,normal,5620805.2,40442.45,4551.1,240214.8,20479.74,6535,2641,55,12,1.6
94,Pântano das Lamentações,normal,6381499.2,44425.50,4945.5,266766.7,22254.72,6622,2813,55,12,1.6
95,Pântano das Lamentações,miniboss,21735426.0,63441.08,5374.1,1481268.0,84642.38,6709,2996,55,12,1.6
96,Pântano das Lamentações,normal,8225666.3,53607.07,5839.9,328999.8,26279.52,6796,2996,55,12,1.6
97,Pântano das Lamentações,normal,9338890.3,58886.67,6346.0,365365.5,28557.17,6885,3191,55,12,1.6
98,Pântano das Lamentações,normal,10602772.9,64686.23,6896.0,405750.9,31032.22,6974,3398,55,12,1.6
99,Pântano das Lamentações,normal,12037703.6,71056.98,7493.7,450600.3,33721.78,7063,3619,55,12,1.6
100,Pântano das Lamentações,chefe,82000987.0,124888.26,16286.4,6004884.4,293155.53,7153,3854,0,32,7
101,Pântano das Lamentações,normal,15516437.4,85742.57,8849.0,555719.1,39820.41,7244,3854,55,12,1.6
102,Pântano das Lamentações,normal,17616361.0,94187.09,9615.9,617145.1,43271.65,7335,4104,55,12,1.6
103,Pântano das Lamentações,normal,20000478.5,103463.29,10449.3,685360.8,47022.00,7427,4371,55,12,1.6
104,Pântano das Lamentações,normal,22707251.5,113653.07,11355.0,761116.6,51097.39,7520,4655,55,12,1.6
105,Pântano das Lamentações,miniboss,77341040.6,162300.33,12339.1,4226230.5,194341.00,7613,4958,55,12,1.6
106,Pântano das Lamentações,normal,29269340.8,137142.14,13408.5,938674.7,60338.43,7707,4958,55,12,1.6
107,Pântano das Lamentações,normal,33230519.2,150648.85,14570.7,1042430.4,65567.96,7801,5280,55,12,1.6
108,Pântano das Lamentações,normal,37727785.4,165485.78,15833.5,1157654.7,71250.74,7897,5623,55,12,1.6
109,Pântano das Lamentações,normal,42833690.9,181783.97,17205.8,1285615.2,77426.03,7992,5989,55,12,1.6
110,Pântano das Lamentações,chefe,291783637.3,319499.69,37394.0,17132635.9,673092.34,8089,6378,0,32,7
111,Pântano das Lamentações,normal,55212049.5,219353.89,20317.5,1585531.6,91428.65,8186,6378,55,12,1.6
112,Pântano das Lamentações,normal,62684195.2,240957.38,22078.4,1760787.1,99352.77,8283,6793,55,12,1.6
113,Pântano das Lamentações,normal,71167586.8,264688.52,23991.9,1955414.4,107963.67,8381,7234,55,12,1.6
114,Pântano das Lamentações,normal,80799081.7,290756.87,26071.3,2171554.6,117320.87,8480,7705,55,12,1.6
115,Pântano das Lamentações,miniboss,275202177.0,415210.40,28330.9,12057928.7,446211.73,8580,8205,55,12,1.6
116,Pântano das Lamentações,normal,104148926.0,350848.61,30786.3,2678148.5,138538.54,8680,8205,55,12,1.6
117,Pântano das Lamentações,normal,118243964.2,385402.60,33454.6,2974175.7,150545.66,8781,8739,55,12,1.6
118,Pântano das Lamentações,normal,134246560.2,423359.71,36354.1,3302923.9,163593.45,8882,9307,55,12,1.6
119,Pântano das Lamentações,normal,152414874.2,465055.09,39504.9,3668010.1,177772.08,8984,9912,55,12,1.6
120,Pântano das Lamentações,chefe,1038252027.0,817371.08,85857.6,48881409.8,1545436.65,9086,10556,0,32,7
121,Pântano das Lamentações,normal,196460716.1,561169.64,46649.4,4523706.6,209922.45,9190,10556,55,12,1.6
122,Pântano das Lamentações,normal,223048808.7,616437.50,50692.5,5023731.1,228116.41,9293,11242,55,12,1.6
123,Pântano das Lamentações,normal,253235211.9,677148.52,55086.1,5579025.4,247887.25,9398,11973,55,12,1.6
124,Pântano das Lamentações,normal,287506904.5,743838.78,59860.4,6195698.7,269371.62,9503,12751,55,12,1.6
125,Pântano das Lamentações,miniboss,979250312.8,1062226.31,65048.5,34402677.9,1024513.17,9608,13580,55,12,1.6
126,Pântano das Lamentações,normal,370592520.3,897570.53,70686.2,7641070.4,318087.91,9715,13580,55,12,1.6
127,Pântano das Lamentações,normal,420746813.0,985969.47,76812.6,8485670.3,345656.57,9822,14463,55,12,1.6
128,Pântano das Lamentações,normal,477688757.7,1083074.55,83469.9,9423627.4,375614.60,9929,15403,55,12,1.6
129,Pântano das Lamentações,normal,542336964.2,1189743.20,90704.2,10465260.9,408169.10,10037,16404,55,12,1.6
130,Pântano das Lamentações,chefe,3694406175.7,2091067.72,197131.2,139464366.8,3548360.75,10146,17470,0,32,7
131,Pântano das Lamentações,normal,699065028.4,1435631.56,107108.2,12906662.9,481987.12,10256,17470,55,12,1.6
132,Pântano das Lamentações,normal,793673284.5,1577022.47,116391.3,14333291.1,523760.92,10366,18606,55,12,1.6
133,Pântano das Lamentações,normal,901085388.2,1732338.52,126478.9,15917610.5,569155.25,10476,19815,55,12,1.6
134,Pântano das Lamentações,normal,1023034153.7,1902951.18,137440.9,17677051.5,618483.91,10588,21103,55,12,1.6
135,Pântano das Lamentações,miniboss,3484460717.8,2717477.02,149352.9,98154855.0,2352307.56,10699,22475,55,12,1.6
136,Pântano das Lamentações,normal,1318677219.0,2296240.71,162297.3,21800865.5,730337.69,10812,22475,55,12,1.6
137,Pântano das Lamentações,normal,1497140948.3,2522390.34,176363.6,24210607.6,793636.02,10925,23936,55,12,1.6
138,Pântano das Lamentações,normal,1699757140.6,2770812.75,191649.0,26886708.7,862420.41,11039,25492,55,12,1.6
139,Pântano das Lamentações,normal,1929794479.5,3043701.51,208259.2,29858610.7,937166.34,11153,27149,55,12,1.6
140,Pântano das Lamentações,chefe,13145784103.2,5349545.98,452618.0,397908114.8,8147123.99,11268,28913,0,32,7
141,Pântano das Lamentações,normal,2487479042.8,3672753.87,245923.2,36824215.5,1106654.35,11384,28913,55,12,1.6
142,Pântano das Lamentações,normal,2824123052.6,4034472.02,267237.3,40894552.2,1202568.02,11500,30793,55,12,1.6
143,Pântano das Lamentações,normal,3206326919.4,4431814.67,290398.8,45414800.5,1306794.53,11617,32794,55,12,1.6
144,Pântano das Lamentações,normal,3640256505.3,4868290.36,315567.6,50434691.0,1420054.34,11735,34926,55,12,1.6
145,Pântano das Lamentações,miniboss,12398736395.9,6952079.16,342917.9,280047256.7,5400956.30,11853,37196,55,12,1.6
146,Pântano das Lamentações,normal,4692241512.6,5874436.84,372638.5,62200413.5,1676873.40,11971,37196,55,12,1.6
147,Pântano das Lamentações,normal,5327267967.3,6452991.93,404935.1,69075689.0,1822207.92,12091,39614,55,12,1.6
148,Pântano das Lamentações,normal,6048235991.2,7088527.11,440030.8,76710917.9,1980138.58,12211,42188,55,12,1.6
149,Pântano das Lamentações,normal,6866776522.1,7786654.18,478168.2,85190101.0,2151757.09,12331,44931,55,12,1.6
150,Pântano das Lamentações,chefe,46776567455.6,13685660.20,1039222.1,1135278289.8,18705998.08,12453,47851,0,32,7
151,Pântano das Lamentações,normal,8851182274.7,9395949.04,564645.7,105063784.5,2540905.74,12574,47851,55,12,1.6
152,Pântano das Lamentações,normal,10049060705.5,10321326.95,613583.5,116676930.2,2761125.90,12697,50962,55,12,1.6
153,Pântano das Lamentações,normal,11409054511.5,11337842.46,666762.8,129573726.1,3000432.54,12820,54274,55,12,1.6
154,Pântano das Lamentações,normal,12953103644.4,12454471.44,724551.1,143896059.6,3260479.86,12944,57802,55,12,1.6
155,Pântano das Lamentações,miniboss,44118351924.5,17785395.86,787347.9,799007506.6,12400729.16,13068,61559,55,12,1.6
156,Pântano das Lamentações,normal,16696375804.5,15028480.30,855587.3,177465039.0,3850142.77,13193,61559,55,12,1.6
157,Pântano das Lamentações,normal,18955986761.4,16508588.76,929741.0,197081002.4,4183834.43,13319,65560,55,12,1.6
158,Pântano das Lamentações,normal,21521403106.1,18134468.52,1010321.6,218865201.4,4546447.14,13445,69822,55,12,1.6
159,Pântano das Lamentações,normal,24434011137.7,19920476.14,1097886.1,243057300.3,4940487.46,13572,74360,55,12,1.6
160,Pântano das Lamentações,chefe,166444789124.5,35011811.38,2386079.7,3239081454.8,42949433.96,13699,79194,0,32,7
161,Pântano das Lamentações,normal,31495110636.5,24037510.13,1296440.5,299759238.8,5833982.39,13827,79194,55,12,1.6
162,Pântano das Lamentações,normal,35757514520.9,26404890.02,1408803.0,332892898.7,6339613.32,13956,84341,55,12,1.6
163,Pântano das Lamentações,normal,40596772605.9,29005425.83,1530903.8,369688962.6,6889067.27,14085,89823,55,12,1.6
164,Pântano das Lamentações,normal,46090953694.7,31862080.35,1663587.2,410552251.5,7486142.35,14215,95662,55,12,1.6
165,Pântano das Lamentações,miniboss,156986076191.8,45500101.30,1807770.2,2279661665.4,28472380.68,14346,101880,55,12,1.6
166,Pântano das Lamentações,normal,59410617347.2,38447127.16,1964449.5,506328467.5,8840022.96,14477,101880,55,12,1.6
167,Cidadela Rachada,normal,67450977931.3,42233665.59,2134708.3,562295100.4,9606187.28,14609,108502,55,12,1.6
168,Cidadela Rachada,normal,76579484055.7,46393128.45,2319723.3,624447962.5,10438755.01,14741,115555,55,12,1.6
169,Cidadela Rachada,normal,86943400349.5,50962243.93,2520773.6,693470844.2,11343481.34,14874,123066,55,12,1.6
170,Cidadela Rachada,chefe,592259529367.0,89570171.90,5478497.9,9241477411.3,98612962.02,15008,131065,0,32,7
171,Cidadela Rachada,normal,112068869810.0,61494787.88,2976659.5,855248091.9,13394967.76,15142,131065,55,12,1.6
172,Cidadela Rachada,normal,127235756870.9,67551219.01,3234646.4,949782290.7,14555908.90,15277,139584,55,12,1.6
173,Cidadela Rachada,normal,144455260894.0,74204129.27,3514993.1,1054765755.4,15817468.73,15413,148657,55,12,1.6
174,Cidadela Rachada,normal,164005173648.8,81512264.05,3819637.3,1171353487.6,17188367.89,15549,158320,55,12,1.6
175,Cidadela Rachada,miniboss,558602645908.2,116402200.69,4150685.1,6504140781.8,65373289.83,15686,168611,55,12,1.6
176,Cidadela Rachada,normal,211400455698.0,98358686.75,4510424.7,1444614209.4,20296911.23,15823,168611,55,12,1.6
177,Cidadela Rachada,normal,240010424207.6,108045729.06,4901343.0,1604293544.6,22056043.43,15961,179570,55,12,1.6
178,Cidadela Rachada,normal,272492334693.1,118686818.15,5326142.1,1781622914.0,23967639.53,16100,191242,55,12,1.6
179,Cidadela Rachada,normal,309370198030.5,130375915.13,5787758.6,1978553250.7,26044913.55,16239,203673,55,12,1.6
180,Cidadela Rachada,chefe,2107433653953.5,229145976.10,12578766.6,26367013591.2,226417798.36,16379,216912,0,32,7
181,Cidadela Rachada,normal,398774010526.5,157321158.32,6834483.8,2440122618.9,30755177.09,16519,216912,55,12,1.6
182,Cidadela Rachada,normal,452742256933.3,172815231.76,7426828.1,2709839720.7,33420726.62,16660,231011,55,12,1.6
183,Cidadela Rachada,normal,514014318391.7,189835268.49,8070510.9,3009369797.6,36317299.19,16802,246027,55,12,1.6
184,Cidadela Rachada,normal,583578659746.3,208531555.90,8769981.7,3342008204.3,39464917.55,16945,262019,55,12,1.6
185,Cidadela Rachada,miniboss,1987672560427.4,297789937.56,9530075.5,18557072723.6,150098689.37,17088,279050,55,12,1.6
186,Cidadela Rachada,normal,752225017426.4,251629496.80,10356046.6,4121652934.7,46602209.90,17231,279050,55,12,1.6
187,Cidadela Rachada,normal,854027702712.4,276411706.30,11253604.6,4577236713.7,50641220.91,17375,297188,55,12,1.6
188,Cidadela Rachada,normal,969607896711.0,303634638.83,12228954.0,5083178099.9,55030292.79,17520,316505,55,12,1.6
189,Cidadela Rachada,normal,1100830184288.5,333538673.64,13288836.7,5645043333.4,59799765.29,17666,337078,55,12,1.6
190,Cidadela Rachada,chefe,7498868968072.6,586220582.68,28881159.0,75228166967.3,519860861.74,17812,358988,0,32,7
191,Cidadela Rachada,normal,1418955252613.0,402472269.71,15692143.7,6961954609.1,70614646.81,17959,358988,55,12,1.6
192,Cidadela Rachada,normal,1610990151307.2,442110516.55,17052181.0,7731488978.1,76734814.43,18106,382323,55,12,1.6
193,Cidadela Rachada,normal,1829014172807.5,485652611.50,18530092.6,8586083244.5,83385416.65,18254,407174,55,12,1.6
194,Cidadela Rachada,normal,2076544565847.4,533483032.48,20136094.7,9535139439.5,90612426.20,18403,433640,55,12,1.6
195,Cidadela Rachada,miniboss,7072723762437.9,761831360.44,21881289.0,52945494204.1,344630300.99,18552,461826,55,12,1.6
196,Cidadela Rachada,normal,2676637923857.9,643739823.61,23777739.1,11759556844.6,106999825.87,18702,461826,55,12,1.6
197,Cidadela Rachada,normal,3038881829437.4,707139764.30,25838554.4,13059390535.6,116273494.99,18852,491845,55,12,1.6
198,Cidadela Rachada,normal,3450150164492.4,776783768.70,28077980.6,14502900357.1,126350912.51,19003,523815,55,12,1.6
199,Cidadela Rachada,normal,3917077670555.8,853286795.32,30511497.6,16105967441.1,137301739.27,19155,557863,55,12,1.6
200,Cidadela Rachada,chefe,26683182027975.2,1499718988.79,66311854.9,214634739944.4,1193613388.69,19307,594124,0,32,7
201,Cidadela Rachada,normal,5049060259117.4,1029638540.82,36029549.9,19863269002.3,162132974.57,19460,594124,55,12,1.6
202,Cidadela Rachada,normal,5732376927190.7,1131044450.50,39152229.0,22058840366.4,176185030.71,19614,632742,55,12,1.6
203,Cidadela Rachada,normal,6508170540458.5,1242437514.04,42545550.6,24497097544.8,191454977.79,19768,673871,55,12,1.6
204,Cidadela Rachada,normal,7388956504723.5,1364801335.27,46232971.2,27204865630.0,208048370.36,19923,717672,55,12,1.6
205,Cidadela Rachada,miniboss,25166832010297.5,1948981307.15,50239980.3,151059674026.9,791279689.80,20078,764321,55,12,1.6
206,Cidadela Rachada,normal,9524265225778.3,1646869567.25,54594276.7,33551388089.9,245674245.06,20234,764321,55,12,1.6
207,Cidadela Rachada,normal,10813235617480.9,1809064648.32,59325959.7,37259965308.7,266966818.60,20391,814002,55,12,1.6
208,Cidadela Rachada,normal,12276649352717.1,1987233820.38,64467737.4,41378467295.8,290104818.33,20548,866912,55,12,1.6
209,Cidadela Rachada,normal,13938114793866.1,2182950322.17,70055152.7,45952204774.4,315248187.25,20706,923261,55,12,1.6
210,Cidadela Rachada,chefe,94946612105032.7,3836707737.30,152253658.0,612377962247.0,2740565844.70,20865,983273,0,32,7
211,Cidadela Rachada,normal,17966041884163.4,2634108246.75,82724737.2,56672224628.5,372261317.28,21024,983273,55,12,1.6
212,Cidadela Rachada,normal,20397483627522.0,2893533406.54,89894485.7,62936445966.7,404525185.52,21184,1047186,55,12,1.6
213,Cidadela Rachada,normal,23157985549492.2,3178508546.51,97685635.9,69893078256.3,439585361.47,21344,1115253,55,12,1.6
214,Cidadela Rachada,normal,26292081146072.3,3491550005.06,106152044.7,77618656616.4,477684200.98,21505,1187744,55,12,1.6
215,Cidadela Rachada,miniboss,89550992617335.9,4986048531.03,115352236.6,430990879585.7,1816797726.98,21667,1264948,55,12,1.6
216,Cidadela Rachada,normal,33890137804004.7,4213160770.94,125349808.7,95726025872.4,564074139.35,21829,1264948,55,12,1.6
217,Cidadela Rachada,normal,38476673685203.2,4628101921.34,136213869.9,106307029491.4,612962414.50,21992,1347169,55,12,1.6
218,Cidadela Rachada,normal,43683930305608.6,5083909340.01,148019518.6,118057596315.0,666087833.82,22156,1434735,55,12,1.6
219,Cidadela Rachada,normal,49595913164373.4,5584607819.07,160848362.3,131107003124.4,723817630.36,22320,1527993,55,12,1.6
220,Cidadela Rachada,chefe,337847980078695.5,9815389663.99,349578162.3,1747185794540.6,6292406921.94,22484,1627313,0,32,7
221,Cidadela Rachada,normal,63928462806648.2,6738798112.68,189938041.4,161692470860.1,854721186.20,22650,1627313,55,12,1.6
222,Cidadela Rachada,normal,72580247883128.9,7402481459.51,206399961.2,179565025410.9,928799825.19,22816,1733088,55,12,1.6
223,Cidadela Rachada,normal,82402925887787.8,8131528922.83,224288634.6,199413109214.6,1009298855.81,22983,1845739,55,12,1.6
224,Cidadela Rachada,normal,93554960101570.9,8932378011.96,243727718.5,221455085898.0,1096774733.06,23150,1965712,55,12,1.6
225,Cidadela Rachada,miniboss,318648778498179.4,12755730320.51,264851586.6,1229667278727.0,4171412489.54,23318,2093483,55,12,1.6
226,Cidadela Rachada,normal,120591081112042.3,10778463598.32,287806259.3,273117523626.2,1295128166.98,23486,2093483,55,12,1.6
227,Cidadela Rachada,normal,136911325180437.7,11840001082.45,312750412.3,303306361818.9,1407376855.18,23655,2229559,55,12,1.6
228,Cidadela Rachada,normal,155440276260958.3,13006086104.36,339856473.6,336832100329.5,1529354131.11,23825,2374481,55,12,1.6
229,Cidadela Rachada,normal,176476850634818.2,14287015227.11,369311815.8,374063580902.3,1661903170.95,23995,2528822,55,12,1.6
230,Cidadela Rachada,chefe,1202162511254092.5,25110558544.60,802640101.7,4984924979081.8,14447521831.26,24166,2693195,0,32,7
231,Cidadela Rachada,normal,227476279036367.0,17239762283.66,436102438.0,461327489863.2,1962460970.89,24338,2693195,55,12,1.6
232,Cidadela Rachada,normal,258261875777096.4,18937653055.82,473899412.7,512319973832.9,2132547357.11,24510,2868253,55,12,1.6
233,Cidadela Rachada,normal,293213854044276.2,20802763829.44,514972249.2,568948873317.6,2317375121.23,24683,3054689,55,12,1.6
234,Cidadela Rachada,normal,332896072812937.6,22851563584.34,559604866.1,631837205228.6,2518221897.67,24857,3253244,55,12,1.6
235,Cidadela Rachada,miniboss,1133846103440349.2,32632786262.93,608105789.6,3508384255892.9,9577666186.79,25031,3464705,55,12,1.6
236,Cidadela Rachada,normal,429098545655744.5,27574375595.02,660810285.5,779236169389.2,2973646284.94,25205,3464705,55,12,1.6
237,Cidadela Rachada,normal,487170775624296.9,30290090411.76,718082677.3,865368447974.9,3231372047.65,25381,3689911,55,12,1.6
238,Cidadela Rachada,normal,553102234964900.2,33273267566.51,780318864.1,961021292604.3,3511434888.28,25557,3929755,55,12,1.6
